id,job_number,dash_number,pump_type,pump_pressure,system_type,skid_length,skid_width,skid_height,created_at
3,22224,03,TRIPLEX,HP,RO,144.0,60.0,30.0,2025-09-04 17:43:42
38,34092,04,DUPLEX,HP,CMF,45.0,56.0,78.0,2025-09-09 17:53:57
